original_cluster,new_cluster_1,new_cluster_2
1,T CELL CD8,T CELL CD8 EM/EFF
2,T CELL CD8,T CELL CD8 EM/EFF
3,T CELL CD8,T CELL CD8 EM/EFF
4,T CELL CD8,T CELL CD8 EM/EFF
5,T CELL CD8,T CELL CD8 EMRA
6,T CELL CD8,T CELL CD8 EMRA
7,T CELL CD8,T CELL CD8 EMRA
8,T CELL CD8,T CELL CD8 EM/EFF
9,T CELL CD8,T CELL CD8 EM/EFF
10,T CELL CD8,T CELL CD8 N
11,T CELL CD8,T CELL CD8 EM/EFF
12,T CELL CD4,T CELL CD4 EMRA
13,T CELL DN,T CELL DN
14,T CELL DP,T CELL DP
15,T CELL DN,T CELL DN
16,T CELL CD4,T CELL CD4 EM/EFF
17,T CELL DN,T CELL DN
18,T CELL CD4,T CELL CD4 EM/EFF
19,T CELL CD4,T CELL CD4 CM
20,T CELL CD4,T CELL CD4 EM/EFF
21,T CELL DN,T CELL DN
22,T CELL CD4,T CELL CD4 N
23,T CELL CD4,T CELL CD4 EM/EFF
24,T CELL CD4,T CELL CD4 REG
25,T CELL CD4,T CELL CD4 EM/EFF
26,T CELL CD4,T CELL CD4 CM
27,T CELL CD4,T CELL CD4 EM/EFF
28,T CELL CD4,T CELL CD4 EM/EFF
29,T CELL CD4,T CELL CD4 EM/EFF
30,T CELL CD4,T CELL CD4 REG